   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Downloading onnxruntime (16.6MiB)
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
 Downloading onnxruntime
Installed 5 packages in 5.40s
import time: self [us] | cumulative | imported package
import time:      6881 |       6881 |           hydra.plugins.search_path_plugin
import time:      6067 |       6067 |           hydra.plugins.sweeper
import time:      8694 |      51783 |         hydra.core.plugins
import time:      8524 |       8524 |         hydra._internal.callbacks
import time:      6754 |       6754 |           hydra._internal.config_repository
import time:      9891 |       9891 |               hydra.core.override_parser
import time:       984 |        984 |                   numbers
import time:      2206 |       3190 |                 _decimal
import time:      1117 |       4306 |               decimal
import time:        37 |         37 |                   _bisect
import time:       732 |        768 |                 bisect
import time:        32 |         32 |                 _random
import time:        25 |         25 |                 _sha512
import time:      1522 |       2346 |               random
import time:      9091 |       9091 |                 hydra._internal.grammar
import time:     14559 |      23650 |               hydra._internal.grammar.utils
import time:     14077 |      54268 |             hydra.core.override_parser.types
import time:      8709 |      62976 |           hydra._internal.defaults_list
import time:      6264 |       6264 |             hydra._internal.grammar.grammar_functions
import time:     10708 |      10708 |             hydra._internal.grammar.functions
import time:      8010 |       8010 |                   hydra.grammar
import time:     10319 |      18328 |                 hydra.grammar.gen
import time:     14444 |      32772 |               hydra.grammar.gen.OverrideLexer
import time:      8633 |       8633 |               hydra.grammar.gen.OverrideParser
import time:      7445 |       7445 |               hydra.grammar.gen.OverrideParserVisitor
import time:      6780 |      55628 |             hydra.core.override_parser.overrides_visitor
import time:     10271 |      82870 |           hydra.core.override_parser.overrides_parser
import time:      7195 |     159794 |         hydra._internal.config_loader_impl
import time:      7822 |     234670 |       hydra._internal.hydra
import time:      6547 |     241216 |     hydra.core.global_hydra
import time:      5485 |     246701 |   hydra.compose
import time:      4126 |       4126 |   hydra.initialize
import time:     22341 |    2293997 | hydra
import time:      9247 |       9247 |     lightning.__about__
import time:      9072 |       9072 |     lightning.__version__
import time:      7812 |       7812 |               lightning_utilities.__about__
import time:     30804 |      30804 |                   lightning_utilities.core.apply_func
import time:     13592 |      13592 |                     typing_extensions
import time:      7936 |      21527 |                   lightning_utilities.core.enums
import time:       172 |        172 |                         _csv
import time:       983 |       1155 |                       csv
import time:      1032 |       1032 |                       email
import time:       142 |        142 |                           zlib
import time:       756 |        756 |                             _compression
import time:       873 |        873 |                             _bz2
import time:      1042 |       2670 |                           bz2
import time:      1070 |       1070 |                             _lzma
import time:      1066 |       2136 |                           lzma
import time:      1031 |       5977 |                         shutil
import time:      1397 |       7374 |                       zipfile
import time:       909 |        909 |                           uu
import time:       900 |        900 |                           quopri
import time:      1300 |       1300 |                                 locale
import time:       974 |       2273 |                               calendar
import time:       134 |       2407 |                             email._parseaddr
import time:        95 |         95 |                               email.base64mime
import time:       136 |        136 |                               email.quoprimime
import time:       324 |        324 |                               email.errors
import time:       129 |        129 |                               email.encoders
import time:       211 |        893 |                             email.charset
import time:       434 |       3733 |                           email.utils
import time:      1014 |       1014 |                             email.header
import time:       642 |       1656 |                           email._policybase
import time:       277 |        277 |                           email._encoded_words
import time:       499 |        499 |                           email.iterators
import time:       754 |       8726 |                         email.message
import time:       314 |        314 |                           importlib.metadata._functools
import time:       412 |        726 |                         importlib.metadata._text
import time:       976 |      10426 |                       importlib.metadata._adapters
import time:       541 |        541 |                       importlib.metadata._meta
import time:       433 |        433 |                       importlib.metadata._collections
import time:       345 |        345 |                       importlib.metadata._itertools
import time:       724 |        724 |                       importlib.abc
