import time: self [us] | cumulative | imported package
import time:      3459 |       3459 |             torch._VF
import time:      7522 |       7522 |                   torch.nn.parameter
import time:      8969 |       8969 |                       torch._prims_common
import time:     14657 |      14657 |                           torch.utils.backcompat
import time:      7034 |       7034 |                           torch.utils.collect_env
import time:       964 |        964 |                                   cmd
import time:      1226 |       1226 |                                   bdb
import time:      1027 |       1027 |                                     codeop
import time:      1565 |       2591 |                                   code
import time:      1579 |       6358 |                                 pdb
import time:      5719 |       5719 |                                   torch.utils._typing_utils
import time:      8184 |       8184 |                                     torch.monitor
import time:      6490 |       6490 |                                       torch.distributed.logging_handlers
import time:      6025 |      12514 |                                     torch.distributed.c10d_logger
import time:      6095 |       6095 |                                     torch.distributed.constants
import time:      6053 |       6053 |                                     torch.distributed.rendezvous
import time:      8668 |      41512 |                                   torch.distributed.distributed_c10d
import time:     10131 |      57361 |                                 torch.distributed.device_mesh
import time:      6825 |       6825 |                                 torch.distributed.remote_device
import time:     15121 |      85664 |                               torch.distributed
import time:      9579 |       9579 |                                               torch.utils.data.datapipes._hook_iterator
import time:      9552 |      19131 |                                             torch.utils.data.datapipes._typing
import time:      6418 |       6418 |                                               torch.utils._import_utils
import time:     20926 |      20926 |                                                 torch.utils.data.datapipes.utils
import time:     24943 |      45868 |                                               torch.utils.data.datapipes.utils.common
import time:      9431 |       9431 |                                               torch.utils.data.dataset
import time:     10377 |      72092 |                                             torch.utils.data.datapipes.datapipe
import time:      9590 |     100811 |                                           torch.utils.data.datapipes._decorator
