import time: self [us] | cumulative | imported package
import time:       146 |        146 |                           asyncio.base_subprocess
import time:       343 |        343 |                           asyncio.selector_events
import time:       442 |        929 |                         asyncio.unix_events
import time:       721 |      14845 |                       asyncio
import time:       927 |      21449 |                     unittest.mock
import time:      6116 |      27565 |                   lightning_utilities.core.overrides
import time:      7200 |       7200 |                   lightning_utilities.core.rank_zero
import time:      9826 |     172155 |                 lightning_utilities.core
import time:        24 |     172178 |               lightning_utilities.core.apply_func
import time:      6708 |     188027 |             lightning_utilities
import time:        14 |     188040 |           lightning_utilities.core
import time:        25 |     188065 |         lightning_utilities.core.imports
import time:       818 |        818 |               _ctypes
import time:       229 |        229 |               ctypes._endian
import time:      1190 |       2236 |             ctypes
import time:       857 |        857 |             glob
import time:      8384 |       8384 |             torch._utils
import time:      1168 |       1168 |               tempfile
import time:      9390 |       9390 |                 torch._strobelight
import time:       835 |        835 |                       _json
import time:       388 |       1223 |                     json.scanner
import time:       362 |       1584 |                   json.decoder
import time:       612 |        612 |                   json.encoder
import time:       740 |       2935 |                 json
import time:      6442 |       6442 |                 torch._strobelight.cli_function_profiler
import time:      9523 |      28288 |               torch._strobelight.compile_time_profiler
import time:      4614 |      34069 |             torch._utils_internal
import time:      9758 |       9758 |                   torch._vendor
import time:     13665 |      23422 |                 torch._vendor.packaging
import time:     11043 |      11043 |                 torch._vendor.packaging._structures
import time:     26164 |      60627 |               torch._vendor.packaging.version
import time:      7562 |       7562 |               torch.version
import time:      4462 |      72650 |             torch.torch_version
import time:      1202 |       1202 |             torch._rocm_init
import time:     12950 |      12950 |                     numpy._utils._convertions
import time:     14566 |      27516 |                   numpy._utils
import time:      8797 |      36312 |                 numpy._globals
import time:      7784 |       7784 |                 numpy.exceptions
import time:      6630 |       6630 |                 numpy.version
import time:       756 |        756 |                   numpy._distributor_init_local
import time:      7970 |       8725 |                 numpy._distributor_init
import time:      7375 |       7375 |                           numpy._utils._inspect
import time:      4680 |       4680 |                             numpy.core._exceptions
import time:      6344 |       6344 |                             numpy.dtypes
import time:     66990 |      78012 |                           numpy.core._multiarray_umath
import time:      7129 |      92515 |                         numpy.core.overrides
import time:     12578 |     105093 |                       numpy.core.multiarray
import time:     16349 |      16349 |                       numpy.core.umath
import time:     11285 |      11285 |                         numpy.core._string_helpers
import time:      1151 |       1151 |                               pickle5
import time:     28053 |      29203 |                             numpy.compat.py3k
import time:      7817 |      37019 |                           numpy.compat
import time:      4219 |       4219 |                           numpy.core._dtype
import time:      4893 |      46130 |                         numpy.core._type_aliases
import time:      7289 |      64702 |                       numpy.core.numerictypes
import time:      4123 |       4123 |                               numpy.core._ufunc_config
import time:      4416 |       8538 |                             numpy.core._methods
import time:      4709 |      13247 |                           numpy.core.fromnumeric
import time:      4798 |      18044 |                         numpy.core.shape_base
import time:      6109 |       6109 |                         numpy.core.arrayprint
import time:      3766 |       3766 |                         numpy.core._asarray
import time:      5229 |      33147 |                       numpy.core.numeric
import time:      6801 |       6801 |                       numpy.core.defchararray
import time:      4774 |       4774 |                       numpy.core.records
import time:      4104 |       4104 |                       numpy.core.memmap
import time:      3974 |       3974 |                       numpy.core.function_base
import time:      4778 |       4778 |                       numpy.core._machar
import time:      4760 |       4760 |                       numpy.core.getlimits
import time:      3853 |       3853 |                       numpy.core.einsumfunc
import time:      3978 |       3978 |                         numpy.core._multiarray_tests
import time:      5611 |       9589 |                       numpy.core._add_newdocs
import time:      4097 |       4097 |                       numpy.core._add_newdocs_scalars
import time:      3799 |       3799 |                       numpy.core._dtype_ctypes
import time:      3988 |       3988 |                       numpy.core._internal
import time:      5444 |       5444 |                       numpy._pytesttester
import time:     13479 |     292722 |                     numpy.core
import time:        30 |     292752 |                   numpy.core._multiarray_umath
import time:      6520 |     299271 |                 numpy.__config__
import time:      8368 |       8368 |                   numpy.lib.mixins
import time:      7416 |       7416 |                       numpy.lib.ufunclike
import time:      5225 |      12640 |                     numpy.lib.type_check
import time:      6417 |      19057 |                   numpy.lib.scimath
import time:      4952 |       4952 |                               numpy.lib.stride_tricks
import time:      5263 |      10215 |                             numpy.lib.twodim_base
import time:      5846 |       5846 |                             numpy.linalg._umath_linalg
import time:      8957 |       8957 |                               numpy._typing._nested_sequence
import time:      5068 |       5068 |                               numpy._typing._nbit
import time:      5779 |       5779 |                               numpy._typing._char_codes
import time:      6354 |       6354 |                               numpy._typing._scalars
import time:      4892 |       4892 |                               numpy._typing._shape
import time:      5862 |       5862 |                               numpy._typing._dtype_like
import time:      7748 |       7748 |                               numpy._typing._array_like
import time:      7111 |      51767 |                             numpy._typing
import time:     10410 |      78236 |                           numpy.linalg.linalg
import time:      6493 |      84729 |                         numpy.linalg
import time:     11594 |      96323 |                       numpy.matrixlib.defmatrix
import time:      8257 |     104579 |                     numpy.matrixlib
import time:      7544 |       7544 |                       numpy.lib.histograms
import time:      6843 |      14387 |                     numpy.lib.function_base
import time:     10349 |     129314 |                   numpy.lib.index_tricks
import time:      9431 |       9431 |                   numpy.lib.nanfunctions
import time:      6604 |       6604 |                   numpy.lib.shape_base
import time:      5557 |       5557 |                   numpy.lib.polynomial
import time:      5413 |       5413 |                   numpy.lib.utils
import time:      6023 |       6023 |                   numpy.lib.arraysetops
import time:      5792 |       5792 |                     numpy.lib.format
import time:      7641 |       7641 |                     numpy.lib._datasource
import time:      6354 |       6354 |                     numpy.lib._iotools
import time:      6147 |      25932 |                   numpy.lib.npyio
