   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Uninstalled 1 package in 30ms
Installed 1 package in 92ms
import time: self [us] | cumulative | imported package
import time:      6129 |       6129 |                               numpy._typing._array_like
import time:      7777 |      51006 |                             numpy._typing
import time:      8577 |      74318 |                           numpy.linalg.linalg
import time:      7029 |      81347 |                         numpy.linalg
import time:      7572 |      88918 |                       numpy.matrixlib.defmatrix
import time:      7333 |      96251 |                     numpy.matrixlib
import time:      5098 |       5098 |                       numpy.lib.histograms
import time:      7816 |      12913 |                     numpy.lib.function_base
import time:      5295 |     114458 |                   numpy.lib.index_tricks
import time:      5224 |       5224 |                   numpy.lib.nanfunctions
import time:      5544 |       5544 |                   numpy.lib.shape_base
import time:      5840 |       5840 |                   numpy.lib.polynomial
import time:      6026 |       6026 |                   numpy.lib.utils
import time:      6492 |       6492 |                   numpy.lib.arraysetops
import time:      6641 |       6641 |                     numpy.lib.format
import time:      5529 |       5529 |                     numpy.lib._datasource
import time:      4995 |       4995 |                     numpy.lib._iotools
import time:      6590 |      23754 |                   numpy.lib.npyio
import time:      5425 |       5425 |                   numpy.lib.arrayterator
import time:      5088 |       5088 |                   numpy.lib.arraypad
import time:      4809 |       4809 |                   numpy.lib._version
import time:      7417 |     216903 |                 numpy.lib
import time:      3055 |       3055 |                     numpy.fft._pocketfft_internal
import time:      8313 |      11368 |                   numpy.fft._pocketfft
import time:      3346 |       3346 |                   numpy.fft.helper
import time:      6149 |      20863 |                 numpy.fft
import time:      5324 |       5324 |                     numpy.polynomial.polyutils
import time:      4713 |       4713 |                     numpy.polynomial._polybase
import time:      9557 |      19593 |                   numpy.polynomial.polynomial
import time:      6052 |       6052 |                   numpy.polynomial.chebyshev
import time:      6423 |       6423 |                   numpy.polynomial.legendre
import time:      5409 |       5409 |                   numpy.polynomial.hermite
import time:      4824 |       4824 |                   numpy.polynomial.hermite_e
import time:      5362 |       5362 |                   numpy.polynomial.laguerre
import time:      7694 |      55353 |                 numpy.polynomial
import time:       770 |        770 |                           backports_abc
import time:      3918 |       4688 |                         numpy.random._common
import time:      1332 |       1332 |                             _hashlib
import time:        61 |         61 |                               _blake2
import time:       954 |       1015 |                             hashlib
import time:      1007 |       3353 |                           hmac
import time:      1397 |       4749 |                         secrets
import time:      4261 |      13697 |                       numpy.random.bit_generator
import time:      2989 |       2989 |                       numpy.random._bounded_integers
import time:      2507 |       2507 |                       numpy.random._mt19937
import time:      7453 |      26644 |                     numpy.random.mtrand
import time:      2430 |       2430 |                     numpy.random._philox
import time:      2239 |       2239 |                     numpy.random._pcg64
import time:      2915 |       2915 |                     numpy.random._sfc64
import time:      9620 |       9620 |                     numpy.random._generator
import time:      7991 |      51837 |                   numpy.random._pickle
import time:      4069 |      55905 |                 numpy.random
import time:      4889 |       4889 |                 numpy.ctypeslib
import time:     17290 |      17290 |                   numpy.ma.core
import time:      5029 |       5029 |                   numpy.ma.extras
import time:      6024 |      28343 |                 numpy.ma
import time:      8717 |     778357 |               numpy
import time:   1696978 |    2475334 |             torch._C
import time:      3646 |       3646 |               torch._namedtensor_internals
import time:      4089 |       4089 |               torch.overrides
import time:      4011 |      11745 |             torch._tensor
import time:      6586 |       6586 |               torch.types
import time:      3400 |       9985 |             torch.storage
import time:      5649 |       5649 |               torch.amp.autocast_mode
import time:      5991 |       5991 |               torch.amp.grad_scaler
import time:      5068 |      16707 |             torch.amp
import time:     11547 |      11547 |             torch.random
import time:        58 |         58 |                 pwd
import time:        44 |         44 |                 grp
import time:      1874 |       1975 |               tarfile
import time:      3732 |       3732 |               torch._weights_only_unpickler
import time:      2493 |       2493 |               torch._sources
import time:      1070 |       1070 |               mmap
import time:      4236 |      13503 |             torch.serialization
import time:      4074 |       4074 |             torch._tensor_str
import time:      5122 |       5122 |               torch.cuda.gds
import time:      5153 |       5153 |               torch.cuda._utils
import time:      4013 |       4013 |               torch.cuda.graphs
import time:      3841 |       3841 |               torch.cuda.streams
import time:       601 |        601 |                 ctypes.util
import time:      7592 |       8193 |               pynvml
import time:      5603 |       5603 |                 torch.cuda._memory_viz
import time:      6343 |      11945 |               torch.cuda.memory
